ID,이벤트,일자
1,2024-1학기 수강신청(재학생 1차),01.31(수) ~ 02.02(금)
2,2024-1학기 교차수강신청(서울↔천안),02.06(화) ~ 02.07(수)
3,2024-1학기 장바구니수강신청 2차(재학생),02.15(목) ~ 02.18(일)
4,학사2023학년도 전기 학위수여식(서울·천안),02.20(화)
5,2024-1학기 등록,02.20(화) ~ 02.22(목)
6,2024-1학기 수강신청(신·편입생),02.20(화) ~ 02.22(목)
7,학사2024학년도 입학식(천안),02.21(수)
8,학사2024학년도 입학식(서울),02.22(목)
9,2024-1학기 수강신청(재학생 2차),02.22(목)
10,2024-1학기 수강신청 정정 및 취소,03.04(월) ~ 03.10(일)
11,2024-1학기 수강포기,03.18(월) ~ 03.20(수)
12,2024-1학기 중간강의평가,04.08(월) ~ 04.30(화)
13,2024-1학기 중간고사,04.22(월) ~ 04.28(일)
14,2024-1학기 기말강의평가,06.03(월) ~ 07.01(월)
15,2024-1학기 기말고사,06.10(월) ~ 06.16(일)
16,2024-1학기 성적입력,06.10(월) ~ 06.30(일)
17,2024-1학기 자율보강(기말고사)주간,06.17(월) ~ 06.23(일)
18,2024-하계방학 시작,06.24(월)
19,2024-하계 계절수업,06.24(월) ~ 07.09(화)
20,2024-1학기 이의신청,07.02(화) ~ 07.04(목)
21,2024-1학기 성적정정,07.02(화) ~ 07.05(금)
22,2024-1학기 성적확인,07.02(화) ~ 07.06(토)
23,2024-1학기 성적확정,07.10(수)
24,2024-2학기 수강신청(재학생 1차),07.24(수) ~ 07.26(금)
25,2024-2학기 교차수강신청(서울↔천안),08.06(화) ~ 08.07(수)
26,2024-2학기 수강신청(재학생 2차),08.22(목)
27,2024-2학기 등록,08.22(목) ~ 08.26(월)
28,2023학년도 후기 학위수여식,08.23(금)
29,2024-2학기 수강신청 정정 및 취소,09.02(월) ~ 09.08(일)
30,2024-2학기 수강포기,09.19(목) ~ 09.20(금)
31,2024-2학기 중간강의평가,10.07(월) ~ 10.31(목)
32,2024-2학기 중간고사,10.21(월) ~ 10.27(일)
33,2024-2학기 기말강의평가,12.02(월) ~ 12.30(월)
34,2024-2학기 기말고사,12.09(월) ~ 12.15(일)
35,2024-2학기 성적입력,12.09(월) ~ 12.29(일)
36,2024-2학기 자율보강(기말고사)주간,12.16(월) ~ 12.22(일)
37,2024-동계방학 시작,12.23(월)
38,2024-동계 계절수업,12.23(월) ~ 01.09(목)
39,2024-2학기 이의신청,12.31(화) ~ 01.02(목)
40,2024-2학기 성적정정,12.31(화) ~ 01.03(금)
41,2024-2학기 성적확인,12.31(화) ~ 01.04(토)
42,2024-2학기 성적확정,01.08(수)
43,2024학년도 전기 학위수여식(서울·천안),02.25(화) ~ 02.25(화)
44,2025학년도 입학식(천안),02.26(수) ~ 02.26(수)
45,2025학년도 입학식(서울),02.27(목) ~ 02.27(목)

